POIID,POIName,Telno,Address,X,Y,Yunlin_Town,Source,FaxNo,OP_DAY,OP_TIME,SpecialStore_Kind,廁所,ANKER,ATM,BEAMS DESIGN,BEAMS DESIGN專區,CITY系列熱燕麥飲,EC自助取件,K·Seren,Mister Donut甜甜圈,OPEN Bar,OPEN iECO循環杯,OPEN! PLAZA專櫃,OPEN! STORE,Watts均一價59元,gogoro,ibon,ibon WiFi,不可思議咖啡,停車場,冷凍交貨便,千禧血壓站,博客來,原賞熱壓土司,哈燒,嚴選素材冷凍鮮物,天素地蔬,天素地蔬複合店,寵物生活專區,座位區,思樂冰,所長茶葉蛋,拋棄式隱形眼鏡,特選咖啡,現烤地瓜,現萃茶,現蒸地瓜,瓜地馬拉豆,甜點專櫃,生鮮蔬菜,精品咖啡,精品威士忌咖啡,精品秤重散糖,糖果屋,美妝,自助微波,茶BAR(多元複合),蒸玉米,蒸食機,藥商執照(快篩試劑),行動電源租賃,超值酒藏,酷聖石霜淇淋,雪淋霜霜淇淋,霹靂DVD,饗喫鍋,高效智慧回收機,黃金滷蛋,Store_URL
998080,七崁,(05)5878541,雲林縣西螺鎮建興路163號1樓,120.45914,23.798382,西螺鎮,7-ELEVEN E-Map / EMapSDK SearchStore,(05)5873358,,24H,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,
249153,二崙,(05)5991711,雲林縣二崙鄉崙東村中山路一段269號,120.413842,23.770254,二崙鄉,7-ELEVEN E-Map / EMapSDK SearchStore,(05)5990790,,24H,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,
229595,三釗,(05)6225343,雲林縣虎尾鎮中興里中興163之1號,120.455099,23.724146,虎尾鎮,7-ELEVEN E-Map / EMapSDK SearchStore,(05)6226330,,24H,,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,0,1,1,0,0,0,1,1,0,1,
266077,三勝,(05)6915771,雲林縣麥寮鄉仁德西路一段37號,120.264826,23.797051,麥寮鄉,7-ELEVEN E-Map / EMapSDK SearchStore,(05)6910342,,24H,,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1,
206581,上慶,(05)5372911,雲林縣斗六市漢口路190.192號,120.540392,23.71261,斗六市,7-ELEVEN E-Map / EMapSDK SearchStore,,,24H,,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,
980045,于滿,(05)5971920,雲林縣斗南鎮延平路二段581號1樓,120.476037,23.670192,斗南鎮,7-ELEVEN E-Map / EMapSDK SearchStore,(05)5972904,,24H,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,
241333,口湖,(05)7891871,雲林縣口湖鄉中正路一段222號,120.182557,23.584746,口湖鄉,7-ELEVEN E-Map / EMapSDK SearchStore,(05)7891645,,24H,,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,
278634,土庫中正,(05)6627926,雲林縣土庫鎮中正路201號之1,120.391772,23.678453,土庫鎮,7-ELEVEN E-Map / EMapSDK SearchStore,(05)6627296,,24H,,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,
261555,大屯,(05)6652107,雲林縣虎尾鎮西屯里大屯349號,120.387635,23.702232,虎尾鎮,7-ELEVEN E-Map / EMapSDK SearchStore,(05)2328334,,24H,,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,
209579,大北勢,(05)5374177,雲林縣斗六市長平路7-32號,120.506105,23.703755,斗六市,7-ELEVEN E-Map / EMapSDK SearchStore,(05)5374243,,24H,,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,
932437,大美,(05)5843730,雲林縣莿桐鄉大美村大美53號1樓,120.515378,23.737667,莿桐鄉,7-ELEVEN E-Map / EMapSDK SearchStore,(05)5843125,,24H,,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,
277022,大茄苳,(05)5875560,雲林縣西螺鎮大新210之3號1樓,120.488064,23.790982,西螺鎮,7-ELEVEN E-Map / EMapSDK SearchStore,(05)5878967,,06:00 ~ 23:59,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,
153951,大埤,(05)5911189,雲林縣大埤鄉南和村6鄰民生路32號,120.42814,23.644563,大埤鄉,7-ELEVEN E-Map / EMapSDK SearchStore,(05)5910067,,24H,,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,
200398,大琬,(05)5917505,雲林縣大埤鄉中正路19號,120.432548,23.645154,大埤鄉,7-ELEVEN E-Map / EMapSDK SearchStore,,,06:00 ~ 23:59,,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,
231613,小東里,(05)5974065,雲林縣斗南鎮小東里大同路573號,120.468673,23.689885,斗南鎮,7-ELEVEN E-Map / EMapSDK SearchStore,(05)5963547,,24H,,1,0,1,1,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,
920478,山好,(05)5223195,雲林縣斗六市崙峰里仁義路52號1樓,120.538149,23.679766,斗六市,7-ELEVEN E-Map / EMapSDK SearchStore,(05)5222182,,24H,,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,
